response_id,course,class_number,student_id,question_number,question_response,summary
303,COM212,10,6594,4,can you talk about some of the parts in pa2,I would like you to discuss some of the parts in PA2 for better understanding.
304,COM212,10,6702,4,No.,NA
305,COM212,10,6286,4,I like to rewatch the class recordings so making sure that the content that is visible in the class room is visible on the recording is really important to me.,"I rely on class recordings, so it's important that all classroom content is clearly visible in the recordings."
306,COM212,10,6573,4,"I'm very nervous that I'm not up to speed with the class material. Even though I know I am, I don't feel very confident","I feel nervous and lack confidence about keeping up with the class material, even though I know I'm capable."
307,COM212,10,6438,4,Good so far,NA
308,COM212,10,6595,4,I was sick last class but I'm good now,NA
360,COM212,11,6406,4,I would like if we lab-like activities like we did in COM 110,I would like to have more lab-like activities similar to those in COM 110.
361,COM212,11,6405,4,nope,NA
362,COM212,11,6702,4,,NA
363,COM212,11,6594,4,when are we getting the rings that track out activity,NA
364,COM212,11,6577,4,I still feel as though applying the concepts we are learning may be difficult on the exam,I am concerned that applying the concepts we are learning may be difficult on the exam.
365,COM212,11,6573,4,nope,NA
366,COM212,11,6374,4,,NA
367,COM212,11,6194,4,no,NA
368,COM212,11,6438,4,All good,NA
369,COM212,11,6575,4,super glad to be in class today,NA
370,COM212,11,6598,4,no,NA
371,COM212,11,6286,4,"Still playing catch up, your patience is very much appreciated",I'm still catching up and appreciate your patience as I work to get on track.
420,COM212,12,6594,4,i am having an output error with my HW4,I am experiencing an output error with my HW4 assignment.
421,COM212,12,6405,4,nope,NA
422,COM212,12,6575,4,i am excited to be here today,NA
423,COM212,12,6194,4,no,NA
424,COM212,12,6406,4,nothing today,NA
425,COM212,12,6598,4,ALL SET,NA
426,COM212,12,6577,4,Yes I would like to get in contact with a student tutor for tutoring sessions. How do I do this?,I would like help connecting with a student tutor for tutoring sessions.
427,COM212,12,6702,4,,NA
428,COM212,12,6286,4,"If I we can procure a tutor for me, I think I would feel more supported.",I would feel more supported in this course if a tutor could be provided for me.
429,COM212,12,6438,4,no,NA
469,COM212,13,6598,4,ALL SET,NA
470,COM212,13,6405,4,nope,NA
471,COM212,13,6194,4,no,NA
472,COM212,13,6702,4,,NA
473,COM212,13,6286,4,Maybe a one on one during office hours,I would benefit from a one-on-one meeting during office hours.
474,COM212,13,6594,4,very tired,I am very tired and may need support with managing fatigue during the course.
475,COM212,13,6438,4,no,NA
476,COM212,13,6575,4,i am excited to be here but i do feel a little sick today,NA
477,COM212,13,6595,4,I will catch up on work over spring break,NA
499,COM212,14,6405,4,nope,NA
500,COM212,14,6285,4,,NA
501,COM212,14,6575,4,let's do some more hands on stuff in class!,I would like more hands-on activities in class.
502,COM212,14,6571,4,,NA
503,COM212,14,6702,4,,NA
555,COM212,17,6405,4,nope,NA
556,COM212,17,6594,4,super tired :(,NA
557,COM212,17,6194,4,no,NA
558,COM212,17,6598,4,no,NA
559,COM212,17,6438,4,no,NA
560,COM212,17,6702,4,,NA
561,COM212,17,6588,4,Nope,NA
562,COM212,17,6573,4,im nervous for the midterm,I'm nervous about the upcoming midterm.
563,COM212,17,6285,4,na,NA
564,COM212,17,6575,4,i am doing so well,NA
565,COM212,17,6570,4,I think we should implement more in class coding practices and homework. It's been difficult to remember the Java syntax.,I would benefit from more in-class coding practice and homework to help me remember Java syntax.
593,COM212,19,6405,4,nope,NA
594,COM212,19,6598,4,,NA
595,COM212,19,6702,4,,NA
596,COM212,19,6570,4,,NA
627,COM212,20,6194,4,,NA
628,COM212,20,6594,4,hope you have a wonderful day,NA
629,COM212,20,6598,4,5,NA
630,COM212,20,6405,4,nope,NA
631,COM212,20,6570,4,,NA
632,COM212,20,6702,4,,NA
681,COM212,11,6406,4,nothing today,NA
682,COM212,11,6405,4,nope,NA
683,COM212,11,6594,4,hope your day is going well,NA
684,COM212,11,6438,4,All good right now,NA
685,COM212,11,6575,4,thank you for moving the midterm,NA
686,COM212,11,6598,4,na,NA
687,COM212,11,6194,4,no,NA
688,COM212,11,6702,4,,NA
689,COM212,11,6577,4,i have heard concerning things about this midterm from former DS students,I've heard concerning things about this midterm from former DS students.
690,COM212,11,6285,4,complaints about midterm from past years are scaring me,"I'm concerned about the difficulty of past midterms, which is making me anxious about the exam."
691,COM212,11,6286,4,"I'm trying not to be overwhelmed with extracurriculars and taking care of myself. I am working as diligently as I can but my pace is not very fast, again I'm just still hoping for your continued patience.","I'm balancing extracurriculars and self-care, so my pace may be slower; I appreciate your continued patience and understanding."
692,COM212,11,6595,4,Not getting much sleep lately which is impacting my ability to get homework done,I'm struggling to complete homework due to lack of sleep recently.
726,COM212,18,6405,4,nope,NA
727,COM212,18,6570,4,,NA
728,COM212,18,6598,4,no,NA
729,COM212,18,6573,4,i have mono,"I have mono, which may affect my participation and ability to keep up with coursework."
763,COM212,21,6702,4,,NA
764,COM212,21,6405,4,nope,NA
765,COM212,21,6570,4,,NA
766,COM212,21,6594,4,Hi :),NA
767,COM212,21,6194,4,no,NA
810,COM212,22,6405,4,nope,NA
811,COM212,22,6598,4,,NA
812,COM212,22,6570,4,,NA
813,COM212,22,6594,4,we need to go outside it is so nice outsid,NA
814,COM212,22,6702,4,,NA
815,COM212,22,6573,4,I'm still not feeling great- but I had to come back from my medical leave or the school would have unenrolled me :/,"I'm returning from medical leave but still not feeling well, which may affect my ability to succeed in the course."
816,COM212,22,6194,4,no,NA
817,COM212,22,6438,4,no,NA
850,COM212,23,6596,4,class is outside ... amazing!,NA
851,COM212,23,6702,4,,NA
852,COM212,23,6405,4,nope,NA
853,COM212,23,6438,4,thank you for letting us have class outide,NA
854,COM212,23,6598,4,,NA
855,COM212,23,6575,4,i love being outside today,NA
883,COM212,24,6702,4,,NA
884,COM212,24,6405,4,nope,NA
885,COM212,24,6438,4,no,NA
886,COM212,24,6594,4,can we go outside today,NA
935,COM212,25,6598,4,,NA
936,COM212,25,6194,4,no,NA
937,COM212,25,6596,4,no,NA
938,COM212,25,6286,4,"I'm working to resubmit my old assignments that I wasn't able to do my best on, I'm wondering how late marks will end up affecting my whole grade and if i may be able to have some extra credit",I'm concerned about how late penalties will impact my grade and would appreciate information about extra credit opportunities.
939,COM212,25,6438,4,no,NA
940,COM212,25,6405,4,nope,NA
941,COM212,25,6573,4,the weather has been beautiful,NA
942,COM212,25,6702,4,,NA
943,COM212,25,6570,4,,NA
