"response_id","course","class_number","student_id","question_number","question_response"
247,"COM212",9,6594,4,"thanks for being such a nice and forgiving processor"
248,"COM212",9,6571,4,"I don't feel like I am really learning or fully understanding java but I will try harder"
249,"COM212",9,6194,4,"it would help to see code alongside the explanation of different strings and lists- like the looped array"
297,"COM212",10,6405,4,"tired"
298,"COM212",10,6406,4,"nothing today"
299,"COM212",10,6596,4,"slow down"
300,"COM212",10,6194,4,"no"
301,"COM212",10,6598,4,"My friend left college. I'm sad"
302,"COM212",10,6575,4,"i am grateful to be in class today"
303,"COM212",10,6594,4,"can you talk about some of the parts in pa2"
304,"COM212",10,6702,4,"No."
305,"COM212",10,6286,4,"I like to rewatch the class recordings so making sure that the content that is visible in the class room is visible on the recording is really important to me."
306,"COM212",10,6573,4,"I'm very nervous that I'm not up to speed with the class material. Even though I know I am, I don't feel very confident"
307,"COM212",10,6438,4,"Good so far"
308,"COM212",10,6595,4,"I was sick last class but I'm good now"
360,"COM212",11,6406,4,"I would like if we lab-like activities like we did in COM 110"
361,"COM212",11,6405,4,"nope"
362,"COM212",11,6702,4,"N/A"
363,"COM212",11,6594,4,"when are we getting the rings that track out activity"
364,"COM212",11,6577,4,"I still feel as though applying the concepts we are learning may be difficult on the exam"
365,"COM212",11,6573,4,"nope"
366,"COM212",11,6374,4,"n/a"
367,"COM212",11,6194,4,"no"
368,"COM212",11,6438,4,"All good"
369,"COM212",11,6575,4,"super glad to be in class today"
370,"COM212",11,6598,4,"no"
371,"COM212",11,6286,4,"Still playing catch up, your patience is very much appreciated"
420,"COM212",12,6594,4,"i am having an output error with my HW4"
421,"COM212",12,6405,4,"nope"
422,"COM212",12,6575,4,"i am excited to be here today"
423,"COM212",12,6194,4,"no"
424,"COM212",12,6406,4,"nothing today"
425,"COM212",12,6598,4,"ALL SET"
426,"COM212",12,6577,4,"Yes I would like to get in contact with a student tutor for tutoring sessions. How do I do this?"
427,"COM212",12,6702,4,"N/A"
428,"COM212",12,6286,4,"If I we can procure a tutor for me, I think I would feel more supported."
429,"COM212",12,6438,4,"no"
469,"COM212",13,6598,4,"ALL SET"
470,"COM212",13,6405,4,"nope"
471,"COM212",13,6194,4,"no"
472,"COM212",13,6702,4,"N/A"
473,"COM212",13,6286,4,"Maybe a one on one during office hours"
474,"COM212",13,6594,4,"very tired"
475,"COM212",13,6438,4,"no"
476,"COM212",13,6575,4,"i am excited to be here but i do feel a little sick today"
477,"COM212",13,6595,4,"I will catch up on work over spring break"
499,"COM212",14,6405,4,"nope"
500,"COM212",14,6285,4,"n/a"
501,"COM212",14,6575,4,"let's do some more hands on stuff in class!"
502,"COM212",14,6571,4,"n/a"
503,"COM212",14,6702,4,"N/A"
555,"COM212",17,6405,4,"nope"
556,"COM212",17,6594,4,"super tired :("
557,"COM212",17,6194,4,"no"
558,"COM212",17,6598,4,"no"
559,"COM212",17,6438,4,"no"
560,"COM212",17,6702,4,"N/A"
561,"COM212",17,6588,4,"Nope"
562,"COM212",17,6573,4,"im nervous for the midterm"
563,"COM212",17,6285,4,"na"
564,"COM212",17,6575,4,"i am doing so well"
565,"COM212",17,6570,4,"I think we should implement more in class coding practices and homework. It's been difficult to remember the Java syntax."
593,"COM212",19,6405,4,"nope"
594,"COM212",19,6598,4,NA
595,"COM212",19,6702,4,"N/A"
596,"COM212",19,6570,4,"N/A"
627,"COM212",20,6194,4,"n/a"
628,"COM212",20,6594,4,"hope you have a wonderful day"
629,"COM212",20,6598,4,"5"
630,"COM212",20,6405,4,"nope"
631,"COM212",20,6570,4,"N/A"
632,"COM212",20,6702,4,"N/A"
681,"COM212",11,6406,4,"nothing today"
682,"COM212",11,6405,4,"nope"
683,"COM212",11,6594,4,"hope your day is going well"
684,"COM212",11,6438,4,"All good right now"
685,"COM212",11,6575,4,"thank you for moving the midterm"
686,"COM212",11,6598,4,"na"
687,"COM212",11,6194,4,"no"
688,"COM212",11,6702,4,"N/A"
689,"COM212",11,6577,4,"i have heard concerning things about this midterm from former DS students"
690,"COM212",11,6285,4,"complaints about midterm from past years are scaring me"
691,"COM212",11,6286,4,"I'm trying not to be overwhelmed with extracurriculars and taking care of myself. I am working as diligently as I can but my pace is not very fast, again I'm just still hoping for your continued patience."
692,"COM212",11,6595,4,"Not getting much sleep lately which is impacting my ability to get homework done"
726,"COM212",18,6405,4,"nope"
727,"COM212",18,6570,4,"N/A"
728,"COM212",18,6598,4,"no"
729,"COM212",18,6573,4,"i have mono"
763,"COM212",21,6702,4,"N/A"
764,"COM212",21,6405,4,"nope"
765,"COM212",21,6570,4,"N/A"
766,"COM212",21,6594,4,"Hi :)"
767,"COM212",21,6194,4,"no"
810,"COM212",22,6405,4,"nope"
811,"COM212",22,6598,4,NA
812,"COM212",22,6570,4,"N/A"
813,"COM212",22,6594,4,"we need to go outside it is so nice outsid"
814,"COM212",22,6702,4,"N/A"
815,"COM212",22,6573,4,"I'm still not feeling great- but I had to come back from my medical leave or the school would have unenrolled me :/"
816,"COM212",22,6194,4,"no"
817,"COM212",22,6438,4,"no"
850,"COM212",23,6596,4,"class is outside ... amazing!"
851,"COM212",23,6702,4,"N/A"
852,"COM212",23,6405,4,"nope"
853,"COM212",23,6438,4,"thank you for letting us have class outide"
854,"COM212",23,6598,4,NA
855,"COM212",23,6575,4,"i love being outside today"
883,"COM212",24,6702,4,"N/A"
884,"COM212",24,6405,4,"nope"
885,"COM212",24,6438,4,"no"
886,"COM212",24,6594,4,"can we go outside today"
935,"COM212",25,6598,4,NA
936,"COM212",25,6194,4,"no"
937,"COM212",25,6596,4,"no"
938,"COM212",25,6286,4,"I'm working to resubmit my old assignments that I wasn't able to do my best on, I'm wondering how late marks will end up affecting my whole grade and if i may be able to have some extra credit"
939,"COM212",25,6438,4,"no"
940,"COM212",25,6405,4,"nope"
941,"COM212",25,6573,4,"the weather has been beautiful"
942,"COM212",25,6702,4,"N/A"
943,"COM212",25,6570,4,"N/A"
